"Modified_User","VidNummer","Modified_Time","VidPreisProTag","VidTitel","ID","Added_Time","VidDauer","Record_Status","VidEinkaufsPreis","VidBewertung","KategorieKategorie","VidBeschreibung","JahrJahr","VidLagerBestand","VidFreiAb"
"Z:mirco.zaech@stud.kftg.ch","100010","1576849473000","","Matrix","74599000000027295","1576849473000","144","0","","7.8","Science Fiction","Mit dem bahnbrechenden Instant-Klassiker Matrix um den Weltenretter Neo läuteten die Wachowski-Geschwister 1999 bereits das neue Jahrtausend ein und brachten uns u.a. den Bullet-Time-Effekt.","1999","","16"
"Z:mirco.zaech@stud.kftg.ch","100011","1576849473000","","Der Soldat James Ryan","74599000000027299","1576849473000","170","0","","7.7","Drama","In Stephen Spielbergs Kriegsdrama Der Soldat James Ryan müssen Tom Hanks und seine Soldaten auf der Suche nach einem Kameraden durch die Wirren der allierten Invasion in Frankreich.","1998","","16"
"Z:mirco.zaech@stud.kftg.ch","100012","1576849473000","","Der Herr der Ringe: Die zwei Türme","74599000000027303","1576849473000","179","0","","8.1","Fantasy","Im zweiten Teil der Herr-der-Ringe-Trilogie Die zwei Türme erhebt sich der Zauberer Saruman gegen die Bewohner von Mittelerde mit seiner Armee der Uruk-Hai.","2002","","12"
"Z:mirco.zaech@stud.kftg.ch","100013","1576849473000","","Der Pate 2","74599000000027307","1576849473000","200","0","","8.1","Drama","Michael Corleone übernimmt das Mafia-Imperium seines Vaters, doch bei dem Versuch, seinen Einfluss zu vergrößern, stößt er auf Widerstand – auch in den eigenen Familienkreisen.","1974","","16"
"Z:mirco.zaech@stud.kftg.ch","100014","1576849473000","","Fluch der Karibik","74599000000027311","1576849473000","143","0","","7.7","Komödie","Johnny Depp ist in Fluch der Karibik auf der Suche nach einem sagenumwobenen Schatz, auf den es auch der verfluchte und berüchtigte Captain Barbossa abgesehen hat.","2003","","12"
"Z:mirco.zaech@stud.kftg.ch","100015","1576849473000","","Scott Pilgrim gegen den Rest der Welt","74599000000027315","1576849473000","112","0","","7.4","Action","Ramona Flowers hat bunte Haare, einen außergewöhnlichen Stil…und 7 psychopathische Ex-Freunde, die Michael Cera in ‘Scott Pilgrim gegen den Rest der Welt’ besiegen muss.","2010","","12"
"Z:mirco.zaech@stud.kftg.ch","100016","1576849473000","","Der König der Löwen","74599000000027319","1576849473000","89","0","","7.7","Animation","In Disneys Zeichentrick-Klassiker Der König der Löwen muss sich der junge Löwen-Prinz Simba gegen das Komplott seines skrupellosen Onkels Scar wehren.","1994","","0"
"Z:mirco.zaech@stud.kftg.ch","100017","1576849473000","","Die Verurteilten","74599000000027323","1576849473000","142","0","","8.6","Drama","Im Drama Klassiker Die Veruteilten freunden sich Tim Robbins und Morgan Freeman im Gefängnis an. Gemeinsam meistern sie den Alltag hinter Gittern und die sadistischen Wärter.","1994","","12"
"Z:mirco.zaech@stud.kftg.ch","100018","1576849473000","","Krieg der Sterne","74599000000027327","1576849473000","127","0","","8.0","Science Fiction","Krieg der Sterne ist der ursprünglich erste Teil der Star-Wars-Trilogie, die Geschichte von Luke Skywalker, Han Solo und Prinzession Leia und definierte 1977 den Begriff des Fan-Seins neu.","1977","","12"
"Z:mirco.zaech@stud.kftg.ch","100019","1576849473000","","Das Imperium schlägt zurück","74599000000027331","1576849473000","125","0","","8.0","Science Fiction","Nach dem Krieg der Sterne und der siegreichen Zerstörung des Todessterns passiert, was passieren muss: Das Imperium schlägt zurück. Irvin Kershner übernahm dafür die Regie von George Lucas.","1980","","12"
